id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"2905510",Quercus,Stiel-Eiche,Quercus robur,"5","17",,Deutschland Namensnennung 2.0,Land Berlin
"2858611",Ulmus,Flatter-Ulme,Ulmus laevis,,"12","1971",Deutschland Namensnennung 2.0,Land Berlin
"2865882",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"2866882",Tilia,,Tilia americana,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2867916",Prunus,,Prunus avium,"6","7","1989",Deutschland Namensnennung 2.0,Land Berlin
"2867992",Tilia,,Tilia americana,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2868616",Castanea,Ess-Kastanie,Castanea sativa,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2868617",Castanea,Ess-Kastanie,Castanea sativa,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2903459",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"8","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2903537",Acer,Feld-Ahorn,Acer campestre,"2","12",,Deutschland Namensnennung 2.0,Land Berlin
"2903660",Populus,Grau-Pappel,Populus canescens,"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"2903716",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"2903786",Acer,Berg-Ahorn,Acer pseudoplatanus,"2","7","2005",Deutschland Namensnennung 2.0,Land Berlin
"2904001",Tilia,,Tilia americana,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2904487",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"2904488",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"2904624",Acer,Spitz-Ahorn,Acer platanoides,"4.5","20",,Deutschland Namensnennung 2.0,Land Berlin
"2904928",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"2905405",Acer,Spitz-Ahorn,Acer platanoides,"4","12",,Deutschland Namensnennung 2.0,Land Berlin
"2905500",Acer,Feld-Ahorn,Acer campestre,"6","10","1993",Deutschland Namensnennung 2.0,Land Berlin
"2905507",Acer,Berg-Ahorn,Acer pseudoplatanus,"3.5","7",,Deutschland Namensnennung 2.0,Land Berlin
"2905639",Acer,Berg-Ahorn,Acer pseudoplatanus,"7","17",,Deutschland Namensnennung 2.0,Land Berlin
"2905642",Acer,Berg-Ahorn,Acer pseudoplatanus,"3","7",,Deutschland Namensnennung 2.0,Land Berlin
"2866781",Malus,,Malus domestica,,"2","2017",Deutschland Namensnennung 2.0,Land Berlin
"2866782",Malus,,Malus domestica,,"3","2013",Deutschland Namensnennung 2.0,Land Berlin
"2877500",Malus,,Malus domestica,,"3","2013",Deutschland Namensnennung 2.0,Land Berlin
"2885321",Malus,,Malus domestica,,"3","2013",Deutschland Namensnennung 2.0,Land Berlin
"2894275",Malus,,Malus domestica,,"3","2013",Deutschland Namensnennung 2.0,Land Berlin
"2881665",Acer,Berg-Ahorn,Acer pseudoplatanus,,"7","1997",Deutschland Namensnennung 2.0,Land Berlin
"2881724",Acer,Feld-Ahorn,Acer campestre,"5","3",,Deutschland Namensnennung 2.0,Land Berlin
"2882292",Acer,Spitz-Ahorn,Acer platanoides,"8","17",,Deutschland Namensnennung 2.0,Land Berlin
"2882574",Acer,Spitz-Ahorn,Acer platanoides,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"2882575",Populus,,Populus x canadensis Hybride,"15","45","1970",Deutschland Namensnennung 2.0,Land Berlin
"2882643",Acer,Eschen-Ahorn,Acer negundo,,"17",,Deutschland Namensnennung 2.0,Land Berlin
"2882878",Acer,Eschen-Ahorn,Acer negundo,"6","10",,Deutschland Namensnennung 2.0,Land Berlin
"2883150",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7",,Deutschland Namensnennung 2.0,Land Berlin
"2883153",Acer,Spitz-Ahorn,Acer platanoides,"4","12",,Deutschland Namensnennung 2.0,Land Berlin
"2883714",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1989",Deutschland Namensnennung 2.0,Land Berlin
"2883819",Tilia,,Tilia americana,"8","17","1974",Deutschland Namensnennung 2.0,Land Berlin
"2884343",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"2884535",Populus,,Populus x canadensis Hybride,"5","20","1950",Deutschland Namensnennung 2.0,Land Berlin
"2884606",Acer,Spitz-Ahorn,Acer platanoides,"8","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"2885083",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","12",,Deutschland Namensnennung 2.0,Land Berlin
"2885084",Quercus,Stiel-Eiche,Quercus robur,"5","12",,Deutschland Namensnennung 2.0,Land Berlin
"2885085",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","17",,Deutschland Namensnennung 2.0,Land Berlin
"2885126",Malus,Holz-Apfel,Malus sylvestris,"3","8","1996",Deutschland Namensnennung 2.0,Land Berlin
"2885525",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"10","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"2828952",Acer,Eschen-Ahorn,Acer negundo,,"7","1981",Deutschland Namensnennung 2.0,Land Berlin
"2832985",Acer,Spitz-Ahorn,Acer platanoides,,"7","1981",Deutschland Namensnennung 2.0,Land Berlin
"2595897",Salix,,Salix spec.,"3","12",,GeoNutzV,Land Berlin
"2595898",Salix,,Salix spec.,"3","12",,GeoNutzV,Land Berlin
"2564811",Quercus,Stiel-Eiche,Quercus robur,"9","11","1985",GeoNutzV,Land Berlin
"2564812",Quercus,Stiel-Eiche,Quercus robur,"4","9","1995",GeoNutzV,Land Berlin
"2564813",Quercus,Stiel-Eiche,Quercus robur,"3","7","1998",GeoNutzV,Land Berlin
"2564814",Quercus,Stiel-Eiche,Quercus robur,"5","9","1998",GeoNutzV,Land Berlin
"2564815",Quercus,Stiel-Eiche,Quercus robur,"2","8","1998",GeoNutzV,Land Berlin
"2564816",Quercus,Stiel-Eiche,Quercus robur,"10","9","1890",GeoNutzV,Land Berlin
"2564817",Quercus,Stiel-Eiche,Quercus robur,"4","6","1995",GeoNutzV,Land Berlin
"2564818",Quercus,Stiel-Eiche,Quercus robur,"4","4","1995",GeoNutzV,Land Berlin
