id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3247598",Prunus,Schmitts Kirsche,Prunus x schmittii,"1.5","12","2008",Deutschland Namensnennung 2.0,Land Berlin
"3247610",Quercus,Stiel-Eiche,Quercus robur,"20","27","1924",Deutschland Namensnennung 2.0,Land Berlin
"3247612",Betula,,Betula pendula,"1","3","2016",Deutschland Namensnennung 2.0,Land Berlin
"3247639",Populus,Berliner Pappel,Populus berolinensis,"3","25","1969",Deutschland Namensnennung 2.0,Land Berlin
"3247651",Populus,,Populus spec.,"10","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3247691",Acer,Spitz-Ahorn,Acer platanoides,"1","4","2012",Deutschland Namensnennung 2.0,Land Berlin
"3247708",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"3","7","2012",Deutschland Namensnennung 2.0,Land Berlin
"3247737",Tilia,Winter-Linde,Tilia cordata,"3","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3247738",Acer,Eschen-Ahorn,Acer negundo,"4","7","2005",Deutschland Namensnennung 2.0,Land Berlin
"3247826",Prunus,Schmitts Kirsche,Prunus x schmittii,"1","10","2007",Deutschland Namensnennung 2.0,Land Berlin
"3247829",Quercus,Rot-Eiche,Quercus rubra,"5","17","1989",Deutschland Namensnennung 2.0,Land Berlin
"3247830",Quercus,Stiel-Eiche,Quercus robur,"1.5","7","2003",Deutschland Namensnennung 2.0,Land Berlin
"3247861",Ulmus,Berg-Ulme,Ulmus glabra,,"10","2003",Deutschland Namensnennung 2.0,Land Berlin
"3248158",Corylus,Baum-Hasel,Corylus colurna,"9.5","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248174",Quercus,,Platanus acerifolia,"6","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"3248196",Quercus,,Platanus acerifolia,"8","14","1996",Deutschland Namensnennung 2.0,Land Berlin
"3248197",Acer,Berg-Ahorn,Acer pseudoplatanus,"10","17","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248203",Tilia,Sommer-Linde,Tilia platyphyllos,"3","12","1983",Deutschland Namensnennung 2.0,Land Berlin
"3248204",Tilia,Sommer-Linde,Tilia platyphyllos,"5.5","8","1965",Deutschland Namensnennung 2.0,Land Berlin
"3248226",Acer,Feld-Ahorn,Acer campestre,"4","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"3248235",Acer,Feld-Ahorn,Acer campestre,"5","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"3248242",Acer,Feld-Ahorn,Acer campestre,"4","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"3248243",Tilia,Winter-Linde,Tilia cordata,"10","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248246",Tilia,Sommer-Linde,Tilia platyphyllos,"8","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248247",Tilia,Sommer-Linde,Tilia platyphyllos,"10","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248249",Tilia,Winter-Linde,Tilia cordata,"8","17","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248258",Tilia,Sommer-Linde,Tilia platyphyllos,"7","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248260",Tilia,Winter-Linde,Tilia cordata,"5","12","1966",Deutschland Namensnennung 2.0,Land Berlin
"3248263",Populus,Grau-Pappel,Populus canescens,"5","13","1977",Deutschland Namensnennung 2.0,Land Berlin
"3248265",Quercus,,Platanus acerifolia,"3.5","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3248386",Corylus,Baum-Hasel,Corylus colurna,"9","17","1924",Deutschland Namensnennung 2.0,Land Berlin
"3248404",Sorbus,Vogelbeere,Sorbus aucuparia,"2","7","1982",Deutschland Namensnennung 2.0,Land Berlin
